,0
143,1153596.8456133665
144,1161952.2856577241
145,1160687.6758717236
146,1178075.6384826128
147,1180813.4811320798
148,1175879.6304409448
149,1177087.780622881
150,1181508.5363596985
151,1168649.1875222763
152,1159528.1519288018
153,1173240.591646891
154,1175013.6741988342
155,1158537.2124535916
156,1133952.1936441902
157,1135381.3275089914
158,1149624.8622789364
159,1160765.6745745314
160,1185154.0202902232
161,1197114.1827376764
162,1194730.0980930042
163,1192272.5713763158
164,1203501.1751149974
165,1199123.3488206076
166,1184991.012042443
167,1162220.0713279746
168,1160273.758502409
169,1162615.8770251642
170,1179732.279961995
171,1195186.9924839002
172,1207565.5750810837
173,1217387.4763971146
174,1214771.9873336111
175,1223149.0538348593
176,1228029.691041053
177,1239589.263093045
178,1239393.3073252526
179,1243361.9251803253
180,1235724.5998811766
181,1245256.1245249056
182,1228911.3889638593
183,1221913.369247746
184,1216039.3988189406
185,1239159.9968622685
186,1236206.8554003288
187,1229226.3704796836
188,1197528.2702904618
189,1184526.7308481124
190,1204845.9473770873
191,1218943.4882509846
192,1216140.181195637
193,1230131.8615358039
194,1238611.7324076826
195,1243287.6139228144
196,1241977.6359169744
197,1268372.1397437367
198,1276170.5383257961
199,1275983.4213044106
200,1286507.646068303
201,1274231.0115425428
202,1266064.5325132944
203,1288477.4376641999
204,1268373.585410811
205,1253601.6667167086
206,1261550.7674488777
207,1242980.3957339367
208,1262222.115509997
209,1224810.222294494
210,1234049.7611768967
211,1229707.125690167
212,1226976.4261553225
213,1253457.107139565
214,1253859.4208994138
215,1274483.411041562
216,1274600.4409525904
217,1281374.8068744997
218,1277242.5588922405
219,1283751.0365411148
220,1308036.6644671876
221,1317561.3562443436
222,1311816.8685976854
223,1297299.6266050532
224,1292773.2709957645
225,1313095.0194606904
226,1312691.9770638298
227,1323651.715108585
228,1299248.8959536124
229,1303418.1180209913
230,1322732.324917255
231,1321569.4067543715
232,1305425.021655208
233,1306968.4237928332
234,1308153.398332544
235,1293887.3972678669
236,1304035.665134598
237,1302202.3417199077
238,1311003.6135095856
239,1298299.995336313
240,1293031.4421639037
241,1287301.4143468058
242,1271428.436314163
243,1269799.8427778953
244,1281061.1658724407
245,1287342.323909708
246,1289639.955742199
247,1297685.8194878772
248,1306389.2134036468
249,1306965.1689797218
250,1304334.8921472328
251,1287661.3151442374
252,1315240.558345108
253,1327019.9735506705
254,1342176.6329583498
255,1347808.0081323693
256,1347428.1913026427
257,1349781.1780142433
258,1345531.81275943
259,1344985.3706928636
260,1344399.642872602
261,1334118.6986111866
262,1348648.389232316
263,1332465.7337986599
264,1298703.1497745656
265,1275752.034049261
266,1279133.7534602578
267,1276172.933080306
268,1290189.7264439273
269,1275046.730141652
270,1260641.9895226914
271,1284919.541688249
272,1288527.860815146
273,1286129.3477580068
274,1248246.6049544534
275,1242930.4602942446
276,1230236.0125209854
277,1256447.7040413686
278,1250389.8299907974
279,1267334.9368520214
280,1255402.98306229
281,1281882.7482955134
282,1279972.325618794
283,1293939.5860698095
284,1296723.758440564
285,1289777.3058658277
286,1274092.8950876365
287,1283633.9501526793
288,1273834.915856891
289,1275969.4289230113
290,1286719.5724503712
291,1292425.0229000098
292,1294200.859486907
293,1297569.34653152
294,1323640.0409124459
295,1314768.3617890489
296,1319707.7623591006
297,1326382.0571588841
298,1327295.7864657475
299,1325566.4613121082
300,1320969.4840959224
301,1324815.5128787647
302,1334869.447698781
303,1344858.2475606084
304,1330068.2776306358
305,1335718.976394597
306,1342342.8054681234
307,1337289.1639533774
308,1330721.2102831933
309,1334767.395977695
310,1345627.136250135
311,1356917.6546883788
312,1349876.2447086023
313,1360670.6265486889
314,1366854.7320293928
315,1368036.3114149394
316,1358613.0451693821
317,1359290.62520558
318,1371288.371198607
319,1369712.5101590136
320,1368895.7259448066
321,1375382.5561324954
322,1379581.913629179
323,1362647.818775157
324,1367422.0374481573
325,1378636.1108381043
326,1391123.1912183503
327,1394961.7785355202
328,1406760.8505400813
329,1408338.1677500007
330,1388131.9456285206
331,1401311.5277135256
332,1412174.6472286487
333,1392875.9134189591
334,1410760.8984345496
335,1376408.8464854157
336,1359334.2600571995
337,1311195.2654221586
338,1292082.3806255234
339,1346443.0914062804
340,1340338.953124734
341,1358703.5611361891
342,1347305.457006099
343,1320173.5486308394
344,1315919.9140428149
345,1300199.272151482
346,1284438.0727036758
347,1235931.5450249673
348,1255041.2381580044
349,1237215.4741517946
350,1234568.8684313537
351,1229459.828859133
352,1270814.9094824581
353,1246149.8031283475
354,1221568.8405050074
355,1245302.956268993
356,1246010.9699267065
357,1201966.2864900287
358,1187952.8399832023
359,1205971.2903526598
360,1200362.3537544094
361,1241539.3182608387
362,1253185.156012785
363,1244521.0709386417
364,1274232.0572034891
365,1278270.3468731719
366,1281086.4658279056
367,1288092.0384001306
368,1289095.84544857
369,1264543.1915434767
370,1261480.4630499564
371,1238769.3790319597
372,1240289.2716079506
373,1232880.2630782619
374,1199929.7303966586
375,1197363.913770222
376,1188146.1615642896
377,1180514.932399223
378,1187706.598981527
379,1221242.4527186689
380,1235749.9498038185
381,1245302.8790755721
382,1245155.0482507166
